temperature,humidity,movement,sound_level,battery,attack,anomaly_dist
24.937,59.519,0.0,39.09,80.0,adaptive_fuzzing,1.03
26.837,60.61,0.0,39.982,80.0,adaptive_fuzzing,1.94
25.168,60.47,1.0,39.592,80.0,adaptive_fuzzing,1.19
24.619,61.04,0.0,41.089,80.0,adaptive_fuzzing,1.55
25.555,60.035,0.0,39.981,80.0,adaptive_fuzzing,0.56
25.146,59.738,1.0,38.527,80.0,adaptive_fuzzing,1.81
24.306,60.841,1.0,39.683,80.0,adaptive_fuzzing,1.51
24.37,61.178,0.0,40.491,80.0,adaptive_fuzzing,1.42
26.505,61.762,0.0,38.272,80.0,adaptive_fuzzing,2.89
24.378,62.559,1.0,41.595,80.0,adaptive_fuzzing,3.24
24.946,60.9,1.0,39.685,80.0,adaptive_fuzzing,1.38
25.712,61.384,0.0,38.161,80.0,adaptive_fuzzing,2.41
24.698,62.355,0.0,41.498,80.0,adaptive_fuzzing,2.81
25.251,61.28,1.0,38.42,80.0,adaptive_fuzzing,2.28
25.742,62.637,0.0,40.107,80.0,adaptive_fuzzing,2.74
24.183,60.335,1.0,40.311,80.0,adaptive_fuzzing,1.37
24.046,59.8,1.0,40.75,80.0,adaptive_fuzzing,1.58
24.776,61.744,1.0,41.416,80.0,adaptive_fuzzing,2.47
23.933,60.267,0.0,39.939,80.0,adaptive_fuzzing,1.1
24.438,60.632,1.0,40.721,80.0,adaptive_fuzzing,1.5
24.847,60.104,0.0,40.002,80.0,adaptive_fuzzing,0.19
25.611,61.968,1.0,41.998,80.0,adaptive_fuzzing,3.04
25.099,57.571,0.0,41.367,80.0,adaptive_fuzzing,2.79
23.547,59.69,1.0,39.398,80.0,adaptive_fuzzing,1.89
24.192,59.307,0.0,40.068,80.0,adaptive_fuzzing,1.07
23.211,58.002,0.0,39.745,80.0,adaptive_fuzzing,2.69
25.503,59.238,0.0,39.172,80.0,adaptive_fuzzing,1.23
23.701,61.292,0.0,39.594,80.0,adaptive_fuzzing,1.88
24.52,59.837,0.0,40.516,80.0,adaptive_fuzzing,0.72
25.245,59.541,1.0,39.083,80.0,adaptive_fuzzing,1.45
25.132,58.888,1.0,40.385,80.0,adaptive_fuzzing,1.55
24.414,59.845,0.0,39.352,80.0,adaptive_fuzzing,0.89
26.441,59.282,0.0,39.443,80.0,adaptive_fuzzing,1.7
25.154,60.612,1.0,39.341,80.0,adaptive_fuzzing,1.35
24.995,59.975,1.0,41.884,80.0,adaptive_fuzzing,2.13
24.284,59.385,0.0,40.509,80.0,adaptive_fuzzing,1.07
26.087,59.389,0.0,42.54,80.0,adaptive_fuzzing,2.83
25.109,59.641,0.0,39.691,80.0,adaptive_fuzzing,0.49
23.379,58.664,0.0,40.892,80.0,adaptive_fuzzing,2.28
24.335,58.287,1.0,40.376,80.0,adaptive_fuzzing,2.13
24.993,59.932,1.0,39.011,80.0,adaptive_fuzzing,1.41
24.323,61.515,1.0,39.492,80.0,adaptive_fuzzing,2.0
25.39,58.622,0.0,37.964,80.0,adaptive_fuzzing,2.49
24.835,59.237,0.0,40.59,80.0,adaptive_fuzzing,0.98
24.138,59.215,1.0,41.497,80.0,adaptive_fuzzing,2.15
25.303,60.743,0.0,40.268,80.0,adaptive_fuzzing,0.85
24.724,58.144,0.0,40.138,80.0,adaptive_fuzzing,1.88
24.379,59.572,0.0,40.929,80.0,adaptive_fuzzing,1.2
26.469,60.831,0.0,41.32,80.0,adaptive_fuzzing,2.14
24.477,58.636,0.0,38.339,80.0,adaptive_fuzzing,2.21
24.07,59.315,0.0,39.412,80.0,adaptive_fuzzing,1.3
23.875,60.063,1.0,41.745,80.0,adaptive_fuzzing,2.31
25.542,60.081,1.0,39.366,80.0,adaptive_fuzzing,1.3
25.613,60.691,0.0,39.739,80.0,adaptive_fuzzing,0.96
25.195,60.082,0.0,39.367,80.0,adaptive_fuzzing,0.67
24.835,59.735,1.0,39.061,80.0,adaptive_fuzzing,1.41
25.794,59.951,1.0,39.121,80.0,adaptive_fuzzing,1.55
25.593,61.127,1.0,39.713,80.0,adaptive_fuzzing,1.64
25.828,62.137,0.0,40.786,80.0,adaptive_fuzzing,2.42
24.221,60.912,0.0,39.309,80.0,adaptive_fuzzing,1.38
24.165,60.118,0.0,41.531,80.0,adaptive_fuzzing,1.75
24.827,57.179,0.0,38.187,80.0,adaptive_fuzzing,3.36
24.935,59.784,1.0,39.482,80.0,adaptive_fuzzing,1.15
24.255,59.091,1.0,38.524,80.0,adaptive_fuzzing,2.14
24.633,58.818,1.0,39.216,80.0,adaptive_fuzzing,1.77
24.909,58.518,0.0,41.091,80.0,adaptive_fuzzing,1.84
25.104,60.673,1.0,39.217,80.0,adaptive_fuzzing,1.44
26.172,61.391,0.0,41.979,80.0,adaptive_fuzzing,2.69
23.446,60.57,0.0,37.963,80.0,adaptive_fuzzing,2.62
25.555,60.619,0.0,41.875,79.465,whitebox_adversarial,2.12
25.705,61.093,0.0,42.736,79.237,whitebox_adversarial,3.12
25.701,61.055,0.0,42.726,79.317,whitebox_adversarial,3.08
25.462,60.601,0.0,41.899,79.438,whitebox_adversarial,2.12
25.692,61.004,0.0,42.668,79.229,whitebox_adversarial,3.03
25.799,60.974,0.0,42.689,79.232,whitebox_adversarial,3.07
25.746,61.072,0.0,42.788,79.347,whitebox_adversarial,3.15
25.732,60.981,0.0,42.699,79.296,whitebox_adversarial,3.05
25.801,60.92,0.0,42.69,79.187,whitebox_adversarial,3.06
25.743,60.958,0.0,42.832,79.311,whitebox_adversarial,3.16
25.703,60.955,0.0,42.677,79.339,whitebox_adversarial,3.0
