temperature,humidity,movement,sound_level,battery,fuzz,interval,detected
25.0,60.0,0,40,80,1,1045,0
25.0,60.0,1,40,80,1,1045,0
25.0,60.0,0,40,80,1,1045,0
25.0,60.0,1,40,80,1,1045,0
25.0,60.0,1,40,80,1,1045,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
8.0,123.0,1,40,80,3,1014,1
43.0,118.0,1,40,80,3,1014,1
11.0,60.0,1,40,80,2,860,0
54.0,60.0,0,40,80,2,860,0
39.0,60.0,1,40,80,2,955,0
-6.0,148.0,1,40,80,3,415,1
-13.0,101.0,1,40,80,3,415,1
20.0,63.0,1,7,80,4,557,0
-3.0,28.0,1,18,80,4,557,0
-44.0,55.0,0,114,80,4,557,1
9.0,60.0,1,40,80,2,443,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
108.0,138.0,1,40,80,3,962,1
58.0,11.0,1,40,80,3,962,0
112.0,140.0,1,40,80,3,962,1
40.0,52.0,1,40,80,3,326,0
-28.0,29.0,1,40,80,3,326,0
58.0,140.0,1,40,80,3,326,1
-3.0,23.0,1,40,80,3,326,0
-1.0,16.0,1,40,80,3,326,0
-4.0,77.0,0,40,80,3,326,0
45.0,117.0,0,40,80,3,326,1
-39.0,60.0,1,40,80,2,941,0
25.0,60.0,1,40,80,1,1378,0
25.0,60.0,0,40,80,1,1378,0
25.0,60.0,1,40,80,1,1378,0
7.0,60.0,0,40,80,2,784,0
45.0,60.0,0,40,80,2,784,0
91.0,60.0,1,40,80,2,784,0
25.0,60.0,1,40,80,1,463,0
25.0,60.0,1,40,80,1,463,0
