temperature,humidity,movement,sound_level,battery,fuzz,interval,detected
26.0,61.0,0,40.0,80.0,1,1000,0
25.0,61.0,1,39.0,80.0,1,1000,0
24.0,61.0,0,38.0,79.0,1,1000,0
25.0,59.0,0,38.0,80.0,1,1000,0
24.0,61.0,1,40.0,79.0,1,1086,0
26.0,58.0,1,41.0,80.0,1,1086,0
25.0,61.0,0,41.0,80.0,1,992,0
24.0,59.0,0,39.0,80.0,1,992,0
24.0,59.0,1,40.0,80.0,1,825,0
26.0,58.0,0,39.0,79.0,1,1052,0
26.0,59.0,0,38.0,80.0,1,1052,0
25.0,59.0,0,41.0,80.0,1,1146,0
25.0,60.0,1,39.0,80.0,1,1146,0
26.0,58.0,1,40.0,80.0,1,962,0
25.0,58.0,0,38.0,79.0,1,949,0
26.0,61.0,0,38.0,80.0,1,949,0
24.0,59.0,1,38.0,79.0,1,949,0
25.0,58.0,0,38.0,79.0,1,664,0
26.0,59.0,1,39.0,79.0,1,664,0
26.2,59.1,1,39.14,78.96,1,664,0
26.4,59.2,1,39.28,78.92,1,664,0
26.6,59.3,0,39.42,78.88,1,1056,0
26.8,59.4,0,39.56,78.84,1,1056,0
27.0,59.5,1,39.7,78.8,1,1056,0
27.2,59.6,0,39.84,78.76,1,777,0
27.4,59.7,1,39.98,78.72,1,777,0
27.6,59.8,1,40.12,78.68,1,777,0
27.8,59.9,1,40.26,78.64,1,1019,0
28.0,60.0,1,40.4,78.6,1,1019,0
28.3,60.15,1,40.61,78.54,2,1074,0
28.6,60.3,0,40.82,78.48,2,1074,0
28.9,60.45,1,41.03,78.42,2,1074,0
29.1,60.55,1,41.17,78.38,1,1073,0
29.3,60.65,1,41.31,78.34,1,1073,0
29.5,60.75,0,41.45,78.3,1,984,0
29.7,60.85,1,41.59,78.26,1,984,0
29.9,60.95,1,41.73,78.22,1,777,0
30.1,61.05,1,41.87,78.18,1,777,0
30.3,61.15,1,42.01,78.14,1,854,0
26.0,61.0,0,39.0,80.0,1,854,0
25.0,60.0,1,40.0,79.0,1,854,0
26.0,61.0,1,41.0,80.0,1,1039,0
25.0,60.0,0,41.0,79.0,1,1000,0
26.0,58.0,0,41.0,80.0,1,1000,0
25.0,58.0,0,38.0,79.0,1,1000,0
24.0,58.0,0,40.0,79.0,1,1000,0
26.0,58.0,0,38.0,80.0,1,1000,0
26.0,59.0,0,39.0,80.0,1,1000,0
24.0,58.0,0,41.0,79.0,1,1074,0
24.0,61.0,0,39.0,80.0,2,951,0
26.0,58.0,0,40.0,79.0,2,951,0
26.3,58.15,1,40.21,78.94,2,1148,0
26.6,58.3,0,40.42,78.88,2,1148,0
26.9,58.45,0,40.63,78.82,2,1148,0
27.1,58.55,0,40.77,78.78,1,979,0
27.5,58.75,1,41.05,78.7,1,979,0
27.8,58.9,0,41.26,78.64,2,855,0
28.1,59.05,1,41.47,78.58,2,855,0
28.3,59.15,1,41.61,78.54,1,650,0
28.5,59.25,0,41.75,78.5,1,650,0
28.7,59.35,0,41.89,78.46,1,650,0
29.2,59.6,0,42.24,78.36,1,1032,0
29.4,59.7,0,42.38,78.32,1,1032,0
29.6,59.8,1,42.52,78.28,1,1032,0
29.8,59.9,1,42.66,78.24,1,929,0
30.0,60.0,0,42.8,78.2,1,929,0
29.0,59.5,0,42.1,78.4,2,966,0
30.2,60.1,1,42.94,78.16,1,958,0
30.4,60.2,1,43.08,78.12,1,958,0
30.6,60.3,1,43.22,78.08,1,1197,0
30.8,60.4,1,43.36,78.04,1,1197,0
31.0,60.5,0,43.5,78.0,1,951,0
31.2,60.6,0,43.64,77.96,1,951,0
31.4,60.7,0,43.78,77.92,1,951,0
31.6,60.8,0,43.92,77.88,1,1165,0
