temperature,humidity,movement,sound_level,battery,fuzz,interval,detected
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
-9.0,60.0,0,40,80,2,1015,0
105.0,60.0,1,40,80,2,1015,0
-15.0,80.0,0,40,80,3,1118,0
46.0,38.0,1,40,80,3,1118,0
-25.0,37.0,1,40,80,3,1118,0
77.0,145.0,1,40,80,3,1351,1
107.0,59.0,1,40,80,3,1351,0
-24.0,60.0,0,40,80,2,829,0
64.0,60.0,0,40,80,2,829,0
44.0,60.0,1,40,80,2,829,0
25.0,60.0,1,40,80,1,1171,0
25.0,60.0,1,40,80,1,1171,0
25.0,60.0,1,40,80,1,1171,0
25.0,60.0,0,40,80,1,1322,0
25.0,60.0,1,40,80,1,1322,0
25.0,60.0,1,40,80,1,1322,0
-33.0,60.0,0,40,80,2,1275,0
9.0,60.0,1,40,80,2,1275,0
32.0,60.0,0,40,80,2,1275,0
90.0,60.0,0,40,80,2,1003,0
11.0,60.0,1,40,80,2,1003,0
25.0,60.0,0,40,80,1,849,0
25.0,60.0,1,40,80,1,849,0
15.0,127.0,0,40,80,3,1057,1
79.0,140.0,1,40,80,3,1057,1
93.0,50.0,0,40,80,3,1057,0
34.0,113.0,1,40,80,3,1057,1
25.0,60.0,0,40,80,1,1289,0
25.0,60.0,0,40,80,1,1289,0
25.0,60.0,1,40,80,1,1376,0
25.0,60.0,1,40,80,1,1376,0
25.0,60.0,0,40,80,1,1376,0
25.0,60.0,0,40,80,1,560,0
25.0,60.0,1,40,80,1,560,0
25.0,60.0,1,40,80,1,560,0
-5.0,132.0,1,40,80,3,1374,1
-26.0,140.0,0,40,80,3,1374,1
25.0,60.0,0,40,80,1,678,0
25.0,60.0,0,40,80,1,678,0
25.0,60.0,1,40,80,1,678,0
25.0,60.0,0,40,80,1,916,0
25.0,60.0,0,40,80,1,916,0
25.0,60.0,1,40,80,1,916,0
25.0,60.0,1,40,80,1,1112,0
25.0,60.0,1,40,80,1,1112,0
25.0,60.0,0,40,80,1,1112,0
9.0,60.0,1,40,80,2,1059,0
25.0,60.0,1,40,80,2,1059,0
72.0,60.0,0,40,80,2,1059,0
-37.0,60.0,0,40,80,2,1059,0
97.0,60.0,1,40,80,2,1048,0
109.0,60.0,0,40,80,2,1048,0
-17.0,60.0,0,40,80,2,1048,0
105.0,60.0,1,40,80,2,1048,0
25.0,60.0,0,40,80,1,874,0
25.0,60.0,0,40,80,1,874,0
25.0,60.0,1,40,80,1,874,0
25.0,60.0,0,40,80,1,1291,0
25.0,60.0,1,40,80,1,1291,0
25.0,60.0,0,40,80,1,1291,0
25.0,60.0,1,40,80,1,1050,0
25.0,60.0,1,40,80,1,1050,0
25.0,60.0,1,40,80,1,1050,0
25.0,60.0,0,40,80,1,695,0
25.0,60.0,0,40,80,1,695,0
25.0,60.0,0,40,80,1,695,0
25.0,60.0,1,40,80,1,1377,0
25.0,60.0,0,40,80,1,1377,0
25.0,60.0,1,40,80,1,911,0
25.0,60.0,1,40,80,1,911,0
25.0,60.0,1,40,80,1,911,0
55.0,60.0,0,40,80,2,383,0
48.0,60.0,1,40,80,2,383,0
87.0,60.0,1,40,80,2,383,0
25.0,60.0,1,40,80,1,1136,0
25.0,60.0,0,40,80,1,1136,0
25.0,60.0,0,40,80,1,1240,0
25.0,60.0,0,40,80,1,1240,0
13.0,115.0,1,40,80,3,1269,1
40.0,105.0,0,40,80,3,1269,1
98.0,116.0,0,40,80,3,1269,1
25.0,60.0,1,40,80,1,323,0
25.0,60.0,0,40,80,1,323,0
25.0,60.0,1,40,80,1,323,0
25.0,60.0,1,40,80,1,323,0
25.0,60.0,0,40,80,1,323,0
-42.0,60.0,1,40,80,2,1300,0
-45.0,60.0,1,40,80,2,1300,0
-37.0,60.0,1,40,80,2,1067,0
-40.0,60.0,0,40,80,2,1067,0
25.0,60.0,1,40,80,1,994,0
25.0,60.0,0,40,80,1,994,0
23.0,45.0,0,40,80,3,752,0
67.0,4.0,0,40,80,3,752,0
20.0,135.0,0,40,80,3,752,1
69.0,77.0,0,40,80,3,752,0
25.0,60.0,0,40,80,1,1218,0
25.0,60.0,1,40,80,1,1218,0
25.0,60.0,0,40,80,1,1218,0
60.0,120.0,1,91,191,5,1323,1
30.0,90.0,1,36,90,5,1323,1
119.0,5.0,1,75,173,5,1323,1
13.0,60.0,0,40,80,2,572,0
7.0,60.0,1,40,80,2,572,0
105.0,60.0,0,40,80,2,572,0
-29.0,60.0,0,40,80,2,572,0
2.0,60.0,1,40,80,2,572,0
119.0,60.0,0,40,80,2,403,0
41.0,60.0,0,40,80,2,403,0
13.0,60.0,1,40,80,2,403,0
41.0,60.0,1,40,80,2,403,0
43.0,60.0,0,40,80,2,1041,0
-27.0,60.0,1,40,80,2,1041,0
36.0,60.0,0,40,80,2,1041,0
-5.0,60.0,0,40,80,2,1370,0
36.0,60.0,0,40,80,2,1370,0
-45.0,60.0,1,40,80,2,1370,0
25.0,60.0,1,40,80,1,1333,0
25.0,60.0,0,40,80,1,1333,0
25.0,60.0,0,40,80,1,1333,0
25.0,60.0,1,40,80,1,538,0
25.0,60.0,1,40,80,1,538,0
25.0,60.0,0,40,80,1,538,0
-15.0,60.0,0,40,80,2,823,0
60.0,60.0,0,40,80,2,823,0
98.0,60.0,0,40,80,2,823,0
-18.0,60.0,0,40,80,2,823,0
77.0,60.0,0,40,80,2,307,0
40.0,60.0,0,40,80,2,307,0
79.0,60.0,1,40,80,2,307,0
-32.0,60.0,0,40,80,2,307,0
68.0,60.0,1,40,80,2,501,0
109.0,60.0,1,40,80,2,501,0
43.0,60.0,0,40,80,2,501,0
25.0,60.0,1,40,80,1,373,0
25.0,60.0,0,40,80,1,373,0
25.0,60.0,1,40,80,1,373,0
12.0,60.0,0,40,80,2,439,0
65.0,60.0,1,40,80,2,439,0
97.0,60.0,0,40,80,2,439,0
25.0,60.0,1,40,80,1,300,0
25.0,60.0,1,40,80,1,300,0
25.0,60.0,1,40,80,1,300,0
25.0,60.0,0,40,80,1,300,0
97.0,72.0,0,196,80,4,1214,1
117.0,56.0,1,9,80,4,1214,0
10.0,48.0,1,176,80,4,1214,1
25.0,60.0,0,40,80,1,1071,0
25.0,60.0,0,40,80,1,1071,0
25.0,60.0,1,40,80,1,1071,0
25.0,60.0,0,40,80,1,1071,0
25.0,60.0,0,40,80,1,1071,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,1,40,80,1,1000,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1000,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,1,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,1,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
25.0,60.0,0,40,80,1,1182,0
